id,news,label_1,label_2
44,The U.S. government has approved a second round of coronavirus stimulus payments to everyone who signs up â€” and that the money will be forthcoming in â€œ5-7 bu,0,FALSE
45,Deaths from COVID-19 are nearing zero in the U.S.,1,FALSE
46,Using nasopharyngeal swabs for COVID-19 testing is unnecessary; saliva samples from mouth swabs is an equivalent substitute,0,FALSE
47,Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian cityâ€™s response to the coronavirus pa,0,FALSE
48,Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,0,FALSE
49,A spike in COVID-19 cases in the U.S. seen in June 2020 is due to increased testing.,0,FALSE
50,No one has died from the coronavirus; there are no antibodies that identify SARS-CoV-2; pathologists have no means of verifying whether a person was infected with SARS-CoV-2; SARS-CoV-2 has not fulfilled Kochâ€™s post,1,FALSE
51,"Infant deaths decreased dramatically during the lockdown, when the number of vaccines administered was reduced; vaccines are a cause of sudden infant death syndrome",1,FALSE
52,Face masks donâ€™t â€œprotect against covid19 and ot,0,FALSE
53,Antibodies for the common cold produce a positive COVID-19 test. False-positive results from COVID-19 antibody testing are behind the COVID-19 cases reported in the U.S.,1,FALSE
54,Ghislaine Maxwell â€” the recently arrested associate of Jeffrey Epstein â€” has tested positive for COVID-19 ,1,FALSE
55,U.S. hospital laboratories falsify COVID-19 tests to inflate the number of positive results. Nurses sent unused swabs for COVID-19 testing and they all came back positive.,1,FALSE
56,Gas sensors show that wearing a face mask leads to oxygen deficiency and carbon dioxide toxicity.,1,FALSE
57,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.,1,FALSE
58,Wisconsin is Ã’clearly seeing a decline in COVID infectio,1,FALSE
59,Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.,0,FALSE
60,IndiaÃ•s Ministry of Home Affairs banning citizens from posting about the new coronavirus on social me,0,FALSE
61,"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package.",0,FALSE
62,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.,0,FALSE
63,A picture of a reporter in protective medical gear is an example of how the American media Ã’hypesÃ“ the COVID-19 p,1,FALSE
64,"A photo taken by a journalist showing a beach in Jacksonville, Florida, isnÃ•t from after the government reopened the beach as news reports have clai",0,FALSE
65,News photo from stay-at-home protest was doctored to add Confederate flag.,0,FALSE
66,"Says a photo shows the Ã’SAME EXACT PEOPLEÃ“ at Ã’two different beachesÃ“ in Los Angeles County and Jackso",0,FALSE
67,�My wife is suffering from coronavirus and she is pregnant. The doctor said she won�t survive it.�,1,FALSE
68,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,1,FALSE
69,The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.,1,FALSE
70,Goodwill Industries International has fired all its employees because of the coronavirus pandemic.,0,FALSE
71,Says WisconsinÃ•s in-person election has caused a Ã’surgeÃ“ in new coron,0,FALSE
72,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,0,FALSE
73,TrumpÃ•s claim that ObamaÃ•s handling of the 2009 swine flu pandemic was a d,0,FALSE
74,"""House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco.""",0,FALSE
75,"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco.",0,FALSE
76,The Food and Drug Administration (FDA) authorized BodysphereÃ•s two-minute COVID-19 testing ,0,FALSE
77,"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack ObamaÃ•s handling of the H1N1 pandemic and placing Ã’ALL responsibilityÃ“ on presidents ",0,FALSE
78,AmazonÃ•s Alexa says the government released the coronavi,0,FALSE
79,"In the United States, there are Ã’360,000 (deaths) a year from swimming pools. But we donÃ•t shut the country down fo",1,FALSE
80,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.,0,FALSE
81,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).,1,FALSE
82,Says Democrats are on vacation until May 4 and Ã’refuse to come backÃ“ to sign a bill to help small bus,1,FALSE
83,"�This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.�",1,FALSE
84,Thieves are handing out chemically doused face masks to knock people out before robbing them.,1,FALSE
85,Economic stimulus payments to U.S. citizens will either reduce future tax refunds or will have to be paid back.,0,FALSE
86,"Valley County, Montana, mandated pink arm bands for residents who had submitted to quarantine protocol.",0,FALSE
87,"Gov. Andrew Cuomo Ã’was simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positi",0,FALSE
88,TrumpÃ•s claims about how quickly WHO acted to announce human-to-human transmis,1,FALSE
89,Video shows an orangutan who started washing its hands after watching the zookeepers do so during the coronavirus pandemic.,0,FALSE
90,"The news media has tried to pass off one manÃ•s death, attributed to complications from COVID-19, as two separate ca",1,FALSE
91,�Michigan Governor Gretchen Whitmer bans buying US flags during lockdown.�,1,FALSE
92,"�The president looks like he was ahead of the curve � as you know, he talks about this all the time � on shutting down travel from China.�",0,FALSE
93,Joe DiffieÃ•s death was labeled Ã’as a COVID-19 death and it ,1,FALSE
94,Trump says that as president he has Ã’totalÃ“ authority to re-open states amid the COVID-19 p,0,FALSE
95,"Average American has less than two-tenths of one percent chance of getting coronavirus, and thus public health officials overreacted to the pandemic.",1,FALSE
96,"Trump claims Ã’it is the decision of the President,Ã“ not governors, to Ã’open up ",1,FALSE
97,"The US $1,200 coronavirus relief checks this year are Ã’just an advance on your next tax return. Ã‰ Next year, youÃ•re automatically going to owe $1,200 come ",0,FALSE
98,Says American NIAID director Dr. Anthony Fauci Ã’stands to lose 100 million dollars on Bill Gates Ã”vaccineÃ• for the coronavirus. Because he invested in th,0,FALSE
99,Numbers in a photo about death tolls from COVID-19 show that the pandemic is a con.,0,FALSE
100,Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.,0,FALSE
101,A photo shared thousands of times on Facebook claims to show the throat of a novel coronavirus patient.,0,FALSE
102,COVID-19 stimulus checks are an advance on 2020 tax refunds.,0,FALSE
103,Dr. Anthony Fauci Ã’was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at lar,1,FALSE
104,Calling 1-800-382-5277 or 1-800-746-6373 gives Americans information on their coronavirus stimulus checks.,1,FALSE
105,Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,1,FALSE
106,Mosques allowed to stay open in the US during the coronavirus epidemic while churches are forced to close.,0,FALSE
107,15 major global pandemics all originated in China.,0,FALSE
108,President Donald Trump referred to the coronavirus as a Ã’hoaxÃ“ or Ã’political ,0,FALSE
109,Pentagon confirms coronavirus accidentally got into chemtrail supply train.,0,FALSE
110,ChinaÃ•s Communist government created the novel coronavirus in a laboratory and released it into the world as a deadly biowea,0,FALSE
111,Viral publication says a video shows a Ã’gay party in Italy few weeks before COVID-,0,FALSE
112,"�Per order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.�",0,FALSE
113,�Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.�,0,FALSE
114,Soap and hand sanitizer can be used to kill coronavirus in the body.,0,FALSE
115,"Viral video with Dr. Shiva Ayyadurai proves Fauci, White House and others are members of deep state.",0,FALSE
116,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,1,FALSE
117,"�Church services can�t resume until we�re all vaccinated, says Bill Gates.�",0,FALSE
118,COVID-19 mass vaccine in Senegal that began in West Africa killed the first seven children who received it.,1,FALSE
119,CDC admitted to lying about COVID-19 death stats.,1,FALSE
120,Top German virologist JÅ¸rgen Rissland recommended drinking whiskey to combat COVID-,0,FALSE
121,Bill Gates is plotting to use COVID-19 testing and a future vaccine to track people with microchips.,0,FALSE
122,"COVID-19 causes prolonged and progressive hypoxia (starving your body of oxygen) by binding to the heme groups in hemoglobin in your red blood cells. People are simply desaturating (losing O2 in their blood), and thatÃ•s what eventually leads to organ failures that kill them, not any form of ARDS or pneumo",0,FALSE
123,COVID-19 vaccine trial killed 7 children in Senegal.,0,FALSE
124,U.S. Speaker of the House Nancy Pelosi said she wonÃ•t pass new economic stimulus package unless senior citizens are exclu,0,FALSE
125,"Social media posts recommend tonic water and zinc as a cure for a novel coronavirus infection, as the drink contains quinine, whose synthetic relative hydroxychloroquine is on trial as a COVID-19 treatment.",1,FALSE
126,US arrests the man who created Covid-19.,1,FALSE
127,"India is suing Microsoft founder Bill Gates because of his vaccine against coronavirus that killed 77,000 girls.",0,FALSE
128,Coronavirus will be exterminated if lockdowns are lifted.,0,FALSE
129,The number of deaths from COVID-19 are exaggerated.,0,FALSE
130,Michigan governor violated social distancing order while signing stay-at-home order.,0,FALSE
131,Posts claim that the speaker of the Winsconsin state assembly Robin Vos wore protective gear that Ã’election workers he forced to work Ã‰ do no,0,FALSE
132,5G exposure/radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID-19 pandemic.,1,FALSE
133,"A video has been viewed tens of thousands of times on Twitter, Facebook and YouTube alongside a claim that it shows the US Federal Bureau of Investigation (FBI) raiding a synagogue that was used to hoard face masks and other medical equipment.",0,FALSE
134,Steam from boiling oranges kills COVID-19.,1,FALSE
135,�Everyone is only dying of coronavirus now.�,0,FALSE
136,"Facebook posts claims the Asian, Hong Kong, swine and bird flus each Ã’killed more people than coronavir",0,FALSE
137,Queen Elizabeth said Philippine President Rodrigo Duterte Ã’is the kind of leader who knows the way Ã‰ Filipinos are very lucky to ha,0,FALSE
138,A photo shows South Carolina after stay-at-home orders were announced.,0,FALSE
139,The Obama administration left President Donald Trump with a Ã’stockpile with a cupboard that was ba,0,FALSE
140,�Same little boy died of COVID-19 in three different countries. Still don�t believe the media is #fakenews?�,0,FALSE
141,�The North Carolina and Virginia State line is closed. Nothing in or out.�,0,FALSE
142,A poem about people staying home was written by Kathleen OÃ•Mara in 1,0,FALSE
143,�59 people die as pastor gives them Dettol to drink in church to prevent coronavirus.�,0,FALSE
144,"Asian flu, Hong Kong flu, swine flu and bird flu killed more people than coronavirus has today. And that the government never shut down anything for those.",0,FALSE
145,"Claim that televangelist Pat Robertson said some young people Ã’are doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladiesÃ• private parts and thatÃ•s where I think the (corona)virus",0,FALSE
146,People are handing out masks Ã’doused with chemicals which knocks you out coldÃ“ so they can ,0,FALSE
147,"Former NYC Mayor Rudolph Giuliani said he Ã’bought $2M in shares of Novartis, a primary supplier of hydroxychloroquineÃ“ in early F",0,FALSE
148,Coronavirus is fake or a made-up ploy by 5G.,0,FALSE
149,Photo of a mannequin being wheeled into a hospital shows the COVID-19 coverup.,0,FALSE
150,Hospital is caught using a dummy in pandemic footage.,1,FALSE
151,"�In Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.�",0,FALSE
152,Coronavirus death toll in the U.S. is inflated by inclusion of unrelated deaths.,0,FALSE
153,President Trump has repeatedly touted the anti-malarial medications hydroxychloroquine and chloroquine as the much-needed solution to covid-19,1,FALSE
154,"Social media posts shared tens of thousands of times claim White House adviser Dr. Anthony Fauci stands alone in insisting hydroxychloroquineÃ•s effectiveness against COVID-19 is unproven, while Italy, France, Spain and Brazil say it Ã�",0,FALSE
155,Says 44 US senators Ã’voted NOT to send stimulus chec,0,FALSE
156,The NBA is asking President Donald Trump to Ã’resign or weÃ•ll never play,1,FALSE
157,President Donald TrumpÃ•s statement that lupus patients are not vulnerable to COVID-19 is not t,0,FALSE
158,New data shows that 21 million Chinese died from the coronavirus.,0,FALSE
159,Suggestion that Trump urged sick people to get out and vote during COVID-19 pandemic.,0,FALSE
160,"Ron Johnson said Americans should go back to work, because Ã’death is an unavoidable part of li",0,FALSE
161,North Carolina Ã’hospital beds are typically 85% full across the sta,0,FALSE
162,"�We�ve got to give the American public a rough estimate of how long we think this is going to take, based mostly on the South Korean model, which seems to be the trajectory that we are on, thankfully, and not the Italian model.�",0,FALSE
163,Says the U.S. is developing an Ã’antivirusÃ“ that includes a chip to track your m,0,FALSE
164,"Big Pharma, Dr. Anthony Fauci and Bill Gates want to ban hydroxychoroquine.",0,FALSE
165,�The Chinese Communist Party is using Zoom as a way to spy on our citizens.�,0,FALSE
166,Photo on biography of a boy who died from coronavirus.,0,FALSE
167,�Joe Exotic tests positive for coronavirus in prison. It�s been confirmed.�,1,FALSE
168,Walmart has adopted staggered shopping days based on age in response to the pandemic.,0,FALSE
169,"�We were slow with the testing, but very quick with the travel ban. And that�s been much more critical in saving lives.�",1,FALSE
170,Walmart is adopting a staggered schedule due to the coronavirus.,1,FALSE
171,Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.,0,FALSE
172,Israeli recipe for lemon and bicarbonate drink is a coronavirus cure.,0,FALSE
173,Video claiming you canÃ•t catch coronavi,0,FALSE
174,"Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money.",0,FALSE
175,In New York Ã’every contaminated corpse belongs to the stateÃ“ and will be incinerated without any Ã’wakes or memorial services to pay your las,0,FALSE
176,Says Goodwill used the pandemic Ã’to fire all of their employees instead of laying them o,0,FALSE
177,Goodwill laid off all employees due to COVID-19.,0,FALSE
178,Says video shows Ã’the Chinese are destroying the 5G poles as they are aware that it is the thing triggering the corona sympto,0,FALSE
179,TrumpÃ•s claim that he imposed the first travel ban on Ch,0,FALSE
180,Audio of Biden calling the coronavirus a hoax.,0,FALSE
181,"�If you line up all the countries that have done (Covid-19) testing on a per-capita basis, we�re [the US] at the bottom of the list.�",0,FALSE
182,�Rivers in Oklahoma are full of catfish carrying the virus.�,0,FALSE
183,Governors across the U.S. are announcing that the current school year will be repeated due to coronavirus school closings.,0,FALSE
184,A video purportedly showing COVID-19 victims in body bags strewn across the floor of a New York hospital was shared several thousand times in multiple languages on social media.,0,FALSE
185,"Facebook posts shared thousands of times feature a video of U.S. officials talking to reporters, with captions claiming they are announcing the arrest of a Chinese scientist.",0,FALSE
186,Coronavirus does not cause a runny nose; is killed by temperatures above 26 degrees; causes lung fibrosis within days of infection; can be diagnosed by holding your breath for 10 seconds; and can be cured in the early stages by drinking plenty of water.,0,FALSE
187,The coronavirus has been Ã’releasedÃ“ by China [Ã‰] it was purposely propagated by the Chinese,1,FALSE
188,Alkaline diet protects against the coronavirus.,0,FALSE
189,A series of statements by Joe Biden claiming he called for action before he did,1,FALSE
190,Empty hospital lots and waiting rooms are indicative of a coronavirus hoax.,1,FALSE
191,"�Now, they�re doing tests on airlines � very strong tests � for getting on, getting off. They�re doing tests on trains � getting on, getting off.�",0,FALSE
192,Missouri students will have to repeat the school year because of COVID-19 school closings.,0,FALSE
193,NYT invented the video of a doctor fighting coronavirus in hospital.,0,FALSE
194,Thousands of Facebook users in the United States are sharing 1-800 numbers that are supposed to help track stimulus payments promised by the federal government under a novel coronavirus economic aid package.,1,FALSE
195,"The army is patrolling all the streets, towns and villages in Ireland.",1,FALSE
196,Says thereÃ•s an 800 number you can call to track the status of your stimulus ch,0,FALSE
197,"If you ask AmazonÃ•s Alexa about the origin of the coronavirus pandemic, it says Ã’the government plan",1,FALSE
198,"Social media posts shared thousands of times advocate 10 methods to prevent a novel coronavirus infection, citing recommendations allegedly stemming from autopsies on COVID-19 victims, including in China, where the virus first emerged.",1,FALSE
199,"Posts on social media claim there is a US patent for the novel coronavirus and a European patent for a vaccine, citing specific patent numbers.",0,FALSE
200,Video tries to show coronavirus is fake and not dangerous.,0,FALSE
201,Students in America have to repeat the same grade next year.,0,FALSE
202,Lemon juice and bicarbonate mixture prevents and cures COVID-19 in Israel.,0,FALSE
203,Coronavirus is caused by 5G.,0,FALSE
204,Says certain states are banning the sale of alcohol.,0,FALSE
205,�We inherited a broken test� for COVID-19.,0,FALSE
206,World Economic Forum is a Ã’fascist cabalÃ“ manipulating coro,0,FALSE
207,Big Pharma is behind COVID-19 deaths.,0,FALSE
208,CBS aired wrong video footage of a coronavirus hospital.,0,FALSE
209,COVID-19 is a hoax or scapegoat for economic disaster.,1,FALSE
210,Taking a flu shot causes false positive results on COVID-19 tests.,0,FALSE
211,Says Nancy PelosiÃ•s Ã’daughter is on the board of the Kennedy Center so thatÃ•s why it was so important to send them all ,0,FALSE
212,Whether microwaving face masks sanitizes them.,0,FALSE
213,Did Kennedy Center give DNC $5 million after getting relief from coronavirus stimulus?,1,FALSE
214,COVID-19 not being blamed for deaths due to unrelated causes.,1,FALSE
215,"President Donald Trump claims he Ã’didnÃ•t say thatÃ“ some of the medical equipment that governors are requesting, they donÃ•",0,FALSE
216,"CEOs got advance notice of COVID, then resigned to dump stock.",0,FALSE
217,�Queen Elizabeth tests positive for COVID-19.�,0,FALSE
218,Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks Ã’everywhe,1,FALSE
219,Says a Ã’5G Law Passed while everyone was distractedÃ“ with the coronavirus pandemic and lists 20 symptoms associated with 5G e,0,FALSE
220,"Posts shared more than 20,000 times on Facebook feature a photo of a crying child and two others showing a woman and a man in hospital beds, claiming that the boyÃ•s parents are infected with the novel coronav",0,FALSE
221,"Says for otherwise healthy people Ã’experiencing mild to moderate respiratory symptoms with or without a COVID-19 diagnosis Ã‰ only high temperatures kill a virus, so let your fever run high,Ã“ but not over 103 or 10",0,FALSE
222,Pictures and reports of Ã’empty hospitalsÃ“ prove COVID-19 spread is Ã’fake crisis for real government plann,1,FALSE
223,Whether CDC had scheduled announcement that all should wear masks for everyday life.,1,FALSE
224,If Florida banned alcohol sales due to coronavirus.,1,FALSE
225,Posts on social media claim that a Ã’Spanish biological researcherÃ“ called on international soccer stars Cristiano Ronaldo and Lionel Messi to find a cure for COVID-19 since they earn much more money than sci,1,FALSE
226,"Boil weed and ginger for COVID-19 victims, and the virus will vanish.",0,FALSE
227,�They�re furloughing nurses in hospitals in western New York state.�,0,FALSE
228,Whether coronavirus began with man having sex with a bat.,0,FALSE
229,�Here�s the problem � we are testing people for any strain of a coronavirus � not specifically for COVID-19. There are no reliable tests for a specific COVID-19 virus.�,0,FALSE
230,Whether countries with high rates of childhood vaccines were hit hardest by coronavirus.,1,FALSE
231,NY banned cigarette sales because of the coronavirus.,1,FALSE
232,"Video of a waitress saying, Ã’I lost my job. But IÃ•ll sleep better knowingÃ“ that the coronavirus relief bill included funding for the Kennedy Center, refugee resettlement, PBS, and congressio",0,FALSE
233,"�There was no effort� to get American experts into China after it announced the coronavirus, and �we had one person in-country (and Trump) pulled him out of the country.�",1,FALSE
234,If Queen Elizabeth II tested positive for coronavirus.,1,FALSE
235,Coronavirus has been found in crab legs.,0,FALSE
236,A video of body bags being dumped in a ditch shows the Ã’situation in ItalyÃ“ due to the coro,0,FALSE
237,�Mainstream media� used a photo from a 2017 movie as an image for Italy�s coronavirus morgue.,0,FALSE
238,Biden claims that Trump did not try to get medical experts into China.,0,FALSE
239,Illuminati controlled U.S. government; coronavirus caused by 5G.,0,FALSE
240,President Trump did sign a 5G bill but exposure effects are misleading.,1,FALSE
241,Health care workers union Ã’suddenly finds a stash of 39 million face mas,0,FALSE
242,"Speaking of his restriction on travel from China, President Donald Trump claims",1,FALSE
243,Should you take Ibuprofen to treat a fever from the coronavirus?,0,FALSE
244,Posts on social media claim that no Democrats voted for the Ã’the stimulus package to help American familiesÃ“ during the novel coronavirus,1,FALSE
245,Ibuprofen ramps up coronavirus 10 times.,0,FALSE
246,A photo shows two Italian nurses in a hospital a few days before they got COVID-19 and died.,0,FALSE
247,Hospitals donÃ•t allow parents to visit children with COVID-19 in the hospi,0,FALSE
248,Children will be separated from parents for coronavirus treatment.,1,FALSE
249,Congress included include a raise for themselves in the coronavirus stimulus package.,0,FALSE
250,Leave objects in the sun to avoid contracting the coronavirus.,0,FALSE
251,Nevada Governor Steve Sisolak Ã’has banned the use of an anti-malaria drug that might help cure coronavir,0,FALSE
252,"�if your child gets this virus, they�re going to the hospital alone in a van with people they don�t know, to be with people they don�t know. You will be at home without them in their time of need.�",0,FALSE
253,Tanks are coming into U.S. towns in advance for martial law,0,FALSE
254,A photo of a couple locked in an intimate embrace with their face masks lowered has been shared in Facebook posts that claim they were nurses who were treating COVID-19 patients in an Italian hospital.,0,FALSE
255,�COVID literally stands for Chinese Originated Viral Infectious Disease.�,1,FALSE
256,A post shared thousands of times on Facebook during the COVID-19 pandemic says disposable surgical masks should be worn Ã’colored side outÃ“ if a person ,0,FALSE
257,Facebook user Chase Michael Morris predicted coronavirus pandemic.,0,FALSE
258,[SARS-CoV-2] is spreading quickly from gas pumps. Shopping carts as well.,0,FALSE
259,"New York Governor Andrew Cuomo Ã’rejected buying the recommended 16,000 ventilators in 2015 for a pandemic, and established death panels and lotteries instead. So he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it do",0,FALSE
260,Trump web ad usings misleading edits to create a false picture.,1,FALSE
261,Facebook posts featuring a photo of ventilators in the U.S. state of New York claim the devices are Ã’stuck in a warehou,0,FALSE
262,Wisconsin Governor Tony Evers is Ã’pushing firearm confiscation orde,0,FALSE
263,There is no coronavirus. The Chinese were secretly working on a biological agent that was supposed to make protesters docile and obedient.,0,FALSE
264,"Says that under order from Gov. Tony Evers, he and his eight children canÃ•t legally have dinner together anym",0,FALSE
265,Deaths blamed on coronavirus are actually due to the flu.,0,FALSE
266,Posts shared thousands of times on Facebook claim to provide an emergency food stamp hotline.,1,FALSE
267,Says Nancy PelosiÃ•s coronavirus bill includes Ã’tax credits for solar and wind energy Ã‰ retirement plans for community newspaper employees Ã‰ $300 million for PBS Ã‰ climate chang,1,FALSE
268,The names of coronavirus victims have been published online in media.,1,FALSE
269,Posts shared thousands of times on Facebook claim to provide an emergency food stamp hotline.,1,FALSE
270,President Donald Trump will announce that a scientist Ã’finally found a vaccine to cure coronavir,1,FALSE
271,Gargling with warm water and salt or vinegar eliminates the coronavirus.,1,FALSE
272,Roche has developed a COVID-19 vaccine.,0,FALSE
273,�Special military helicopters will spray pesticide against the coronavirus in the skies all over the country.�,1,FALSE
274,A photo showing UgandaÃ•s first case of COVID,1,FALSE
275,Getting a flu shot increases the risk of coronavirus by 36%.,0,FALSE
276,�Putin has stated,0,FALSE
277,Does vaping reduce your chances of getting the coronavirus?,1,FALSE
278,The CDC now says that the coronavirus can survive on surfaces for up to 17 days.,1,FALSE
279,Whether 60 Democrats voted against coronavirus stimulus bill.,0,FALSE
